scope,pipeline,L,step,mean_nldd,nldd_se,mean_tas_t,tas_t_se,n_clean,bin_status
easy,v6,7,5,-2.9313236243686873,7.082713827165652,0.4133510182047128,0.005293145958126824,120,ok
easy,v6,7,6,23.214321035283763,15.84879832600543,0.37492127682718207,0.005093717409825427,120,ok
easy,v6,7,7,498.96952371600844,193.72806491973907,0.35005710658369465,0.004924696861172189,120,ok
easy,v6,8,1,,,1.0,0.0,120,ok
easy,v6,8,2,7.98747062716473,4.349178444860943,0.6490419172917303,0.009168074173062223,120,ok
easy,v6,8,3,14.71166116446935,6.378697702836345,0.5207529445810134,0.006586487376633284,120,ok
easy,v6,8,4,10.534685444780601,6.998684325087537,0.45496184022440916,0.005631300507509937,120,ok
easy,v6,8,5,25.065401074663463,17.776339364086976,0.4068068889709671,0.005036349007268861,120,ok
easy,v6,8,6,12.557034311891165,8.757438249760888,0.367061376976081,0.004987817367306847,120,ok
easy,v6,8,7,47.68123144838503,14.891239986383644,0.34253493171751404,0.004626349833786903,120,ok
easy,v6,8,8,377.70106322768606,84.83285648416724,0.31936108784478484,0.004292098544118579,120,ok
easy,v6,9,1,,,1.0,0.0,120,ok
easy,v6,9,2,15.583726680706565,11.474897889002992,0.6504973971301835,0.00870282001793208,120,ok
easy,v6,9,3,-0.22018213356568528,6.098489798387268,0.5277181625173797,0.006098898776084009,120,ok
easy,v6,9,4,19.37313526363875,16.579960113934792,0.4581353061792312,0.005295245229596934,120,ok
easy,v6,9,5,16.397374266673523,17.283568190441752,0.4081810002755595,0.004925665018490895,120,ok
easy,v6,9,6,19.111249765448694,14.015320984538791,0.36644087233383144,0.004672215645395515,120,ok
easy,v6,9,7,-5.607737087755214,6.586732785965299,0.33953835871361293,0.00449233385525901,120,ok
easy,v6,9,8,94.2504901786906,49.63349614939944,0.31373284155721665,0.004206182292275333,120,ok
easy,v6,9,9,411.13673403063984,161.68388564194868,0.2914888263861139,0.0038518924054695776,120,ok
easy,v6,10,1,,,1.0,0.0,120,ok
easy,v6,10,2,20.014755580172782,12.663583178996104,0.6576556117450993,0.008807635018971393,120,ok
easy,v6,10,3,1.918293332679239,4.719352095456336,0.5253044237652711,0.006600202497753591,120,ok
easy,v6,10,4,-8.939099328121618,8.803340036155598,0.45960594528559745,0.005976106675431276,120,ok
easy,v6,10,5,-8.89733594157166,7.223878365616016,0.4067990385619922,0.005963218392305649,120,ok
easy,v6,10,6,-3.769606694773454,5.589833718299024,0.36774315462376495,0.005479719309340388,120,ok
easy,v6,10,7,6.702089354507337,5.769951618463378,0.33349791762804587,0.005289979913728218,120,ok
easy,v6,10,8,-11.555004296005084,8.440420184025117,0.30819134767959505,0.004884625918571539,120,ok
easy,v6,10,9,70.79398172991534,24.265205838106535,0.28371581452930206,0.0045847531271606765,120,ok
easy,v6,10,10,399.98045621264913,149.55607040946722,0.2652531182813314,0.0044031667253971365,120,ok
easy,v6,11,1,,,1.0,0.0,110,ok
easy,v6,11,2,-4.400746712789347,6.001490139536812,0.6753579126138901,0.008871295854576666,110,ok
easy,v6,11,3,-3.8530894704511764,4.8428562883859465,0.5383765095150791,0.0068365455739968235,110,ok
easy,v6,11,4,-2.289299859032599,6.845466922711619,0.4662621898359079,0.0064117370283016135,110,ok
easy,v6,11,5,-8.830473384841023,9.19226604268674,0.4112324710178276,0.0060246762926422955,110,ok
easy,v6,11,6,-1.002816286026748,5.9739711713198504,0.3731332675676297,0.00555553954820117,110,ok
easy,v6,11,7,7.2497843868294805,8.339149386120736,0.3387447715493709,0.005599508801759707,110,ok
easy,v6,11,8,3.7323901067421352,11.884711893466587,0.31199718200424,0.005069035791674998,110,ok
