difficulty,length,k,n,mean_nldd,se_nldd
medium,6,2,120,-2.225968831063745,5.224423714689759
medium,6,3,120,-5.06703454860515,6.300954630717282
medium,6,4,120,-8.876022812235329,4.183073752319102
medium,6,5,120,-2.964643291131746,13.012728184724573
medium,6,6,120,441.92111147264586,91.26053519610949
medium,7,2,120,-0.18733831331486703,13.288489658852676
medium,7,3,120,-3.815575013964113,15.800519069024851
medium,7,4,120,-14.838165323671742,22.847726377540823
medium,7,5,120,-11.105105920796928,18.784642136966184
medium,7,6,120,71.70940220310824,40.68195125918863
medium,7,7,120,746.8155936709022,253.50927579485864
medium,8,2,120,4.843045276392675,3.552650304458932
medium,8,3,120,-2.053164456386733,4.73722438395372
medium,8,4,120,-6.937086024717396,8.330311008408628
medium,8,5,120,3.2954558219627446,7.006030029747549
medium,8,6,120,2.2612983708203926,8.581175665789566
medium,8,7,120,102.32240514626247,26.48990719735127
medium,8,8,120,407.84304265368814,109.45430570394652
medium,9,2,119,3.664123085952278,8.175064342226646
medium,9,3,119,4.736766084018939,10.5370566605484
medium,9,4,119,6.305367119605016,7.198076054674389
medium,9,5,119,11.490099333063862,6.341681257478262
medium,9,6,119,-5.167397631069357,5.609577917081136
medium,9,7,119,-19.421713899692744,13.11140989077931
medium,9,8,119,75.11035576258442,44.69354637537161
medium,9,9,119,584.2289330215796,147.59395650371357
medium,10,2,68,6.243011324685161,1.9381007602807485
medium,10,3,68,2.0210224708130484,2.3664208418054935
medium,10,4,68,0.39284970651474604,3.668500168505099
medium,10,5,68,0.819715255001761,2.5934610110993686
medium,10,6,68,-3.3529189393839736,3.1694038391406125
medium,10,7,68,2.6050687852278034,4.46382816696744
medium,10,8,68,1.3634553236436604,4.1277529820321535
medium,10,9,68,60.48210711474567,12.776615562825404
medium,10,10,68,215.22383542513012,50.40304759715122
medium,11,2,37,7.497164223557905,5.57128257124133
medium,11,3,37,-4.608685801934364,4.880866258300021
medium,11,4,37,-0.318948091700355,3.9968920610479413
medium,11,5,37,2.3680179820790594,6.917490768715217
medium,11,6,37,8.152594671176397,9.63802176129451
medium,11,7,37,10.64839605973301,9.82100611203216
medium,11,8,37,-6.7706180537389065,6.091307065386733
medium,11,9,37,-21.51175492679711,17.526911578321343
medium,11,10,37,85.14998220004097,51.97454695520408
medium,11,11,37,329.6975569833142,90.90391993924591
hard,3,2,35,4.074885751296582,14.956909389263108
hard,3,3,35,624.0184448404924,292.62394217133277
hard,4,2,73,-11.089734023936616,17.480597995540172
hard,4,3,73,31.264302501730942,26.47911047578719
hard,4,4,73,701.3634327190756,260.3200562922504
hard,5,2,98,6.894555559896187,13.618109729986454
hard,5,3,98,-12.844122551900822,13.359647862375583
hard,5,4,98,-0.22617815571446445,10.992793960051277
hard,5,5,98,340.05795548944207,57.082354898981016
hard,6,2,78,20.31753389422711,11.174688338551482
hard,6,3,78,8.675011222775986,8.895527732177051
hard,6,4,78,-4.198092747819602,12.231078291390444
hard,6,5,78,121.40301163701555,105.91060519861432
hard,6,6,78,358.5509802462582,85.04122447717992
hard,7,2,59,-0.5898494623064638,5.047091580434926
hard,7,3,59,-1.1964614544827106,3.0413044774992426
hard,7,4,59,10.684048814078691,8.133782885806603
hard,7,5,59,10.891786575388162,6.81142737164656
hard,7,6,59,12.110090861536468,7.551830767435838
hard,7,7,59,426.670898102562,149.14287800836308
hard,8,2,49,-3.037503309387544,14.637798382136225
hard,8,3,49,-17.759542691593833,11.345325461214165
hard,8,4,49,46.35754311550009,24.569739135577873
hard,8,5,49,-6.701468145719704,6.745226813378425
hard,8,6,49,-9.815697280886926,32.82002516693236
hard,8,7,49,242.540067992448,144.98809367063703
hard,8,8,49,551.8220435170917,128.19117390531056
hard,9,2,36,-2.118855848708075,6.168837715640318
hard,9,3,36,36.13138251658952,39.159526950019405
hard,9,4,36,-15.116547791214868,14.510601350610095
hard,9,5,36,14.765309595498675,12.83299993072995
hard,9,6,36,10.322184549562722,9.936763944772576
hard,9,7,36,-68.40304743366414,57.47703558904847
hard,9,8,36,113.3279979322587,90.21067486420871
hard,9,9,36,407.52367732228697,155.46230516653176
