difficulty,length,step_index,n,mean_tas,se_tas
medium,6,5,120,0.4290202115056519,0.006274599447137671
medium,6,6,120,0.3986279848451668,0.00538483251503613
medium,7,1,120,1.0,0.0
medium,7,2,120,0.6870725157553891,0.007615488471241979
medium,7,3,120,0.547993718074021,0.007174574707874506
medium,7,4,120,0.46893420164516414,0.0062092668948246325
medium,7,5,120,0.41667160608975734,0.00611823631492235
medium,7,6,120,0.38101590055486056,0.005607384294994014
medium,7,7,120,0.3576366979896243,0.005340159057137126
medium,8,1,120,1.0,0.0
medium,8,2,120,0.6611176934441381,0.00835110764466218
medium,8,3,120,0.5383538066226877,0.006732182558028675
medium,8,4,120,0.46526880738514675,0.0060457105057159614
medium,8,5,120,0.41381253514003324,0.005607520810639286
medium,8,6,120,0.3743128257644656,0.005142732975754547
medium,8,7,120,0.3421129356565271,0.0048775149754034935
medium,8,8,120,0.31982520634092737,0.004350292819128119
medium,9,1,120,1.0,0.0
medium,9,2,120,0.6820417759983566,0.00819722520020301
medium,9,3,120,0.5516036948177001,0.006643357721117505
medium,9,4,120,0.48124688450324477,0.005942941403361876
medium,9,5,120,0.43125584653528104,0.005445612690561936
medium,9,6,120,0.39390050307748115,0.005263452491912288
medium,9,7,120,0.3594749811892564,0.0045034062623320265
medium,9,8,120,0.3323471735780243,0.004019545782338858
medium,9,9,120,0.3090741419134111,0.003964810386930254
medium,10,1,68,1.0,0.0
medium,10,2,68,0.6654185264122274,0.013117221345729305
medium,10,3,68,0.530561443386348,0.011062336411466442
medium,10,4,68,0.46627685595606083,0.00943535637346194
medium,10,5,68,0.4188094958582415,0.007892137518049916
medium,10,6,68,0.38122764491496985,0.007176461292953878
medium,10,7,68,0.35503513782034735,0.006744173082231594
medium,10,8,68,0.3257395007872452,0.006505955987625774
medium,10,9,68,0.30117652213749774,0.00600735008875841
medium,10,10,68,0.28415796513003505,0.005450037241528936
medium,11,1,37,1.0,0.0
medium,11,2,37,0.6744220352172549,0.016700241159889113
medium,11,3,37,0.5379070952326721,0.014667304749561528
medium,11,4,37,0.4735858613895111,0.012728756767674092
medium,11,5,37,0.4290869550038387,0.010957154627615755
medium,11,6,37,0.38745728163932625,0.009084736317716507
medium,11,7,37,0.35959268889167056,0.008181435410398051
medium,11,8,37,0.33018004487723696,0.00816067243091704
medium,11,9,37,0.30265391659676305,0.007671448859674329
medium,11,10,37,0.2807072536409799,0.007281297048839035
medium,11,11,37,0.2657848224787526,0.006585859939852776
hard,3,1,35,1.0,0.0
hard,3,2,35,0.6946501100928626,0.01112142972928068
hard,3,3,35,0.5813391576781543,0.008582872445398933
hard,4,1,73,1.0,0.0
hard,4,2,73,0.6962667895714029,0.00917616345987631
hard,4,3,73,0.5703233347834363,0.0074613584873638936
hard,4,4,73,0.5108688465649445,0.0060430966294488615
hard,5,1,98,1.0,0.0
hard,5,2,98,0.6897924106425538,0.009370587664428585
hard,5,3,98,0.5629229610768763,0.006640244404753463
hard,5,4,98,0.49511042801287397,0.006636344951699404
hard,5,5,98,0.45371104358712405,0.006572705908601933
hard,6,1,79,1.0,0.0
hard,6,2,79,0.6945162745670144,0.009786194147431416
hard,6,3,79,0.5431697792191637,0.007230787680966879
hard,6,4,79,0.4802135397628968,0.007229540231132241
hard,6,5,79,0.4369809887253573,0.006809648719009872
hard,6,6,79,0.40615880165605556,0.005991073072857938
hard,7,1,59,1.0,0.0
hard,7,2,59,0.6713328338273807,0.01302764360564864
hard,7,3,59,0.5364135493660183,0.008921374323784176
hard,7,4,59,0.4692811678089189,0.007836369451356212
hard,7,5,59,0.42508234018061536,0.006625154547680276
hard,7,6,59,0.3857011536127743,0.0059735427642684915
hard,7,7,59,0.35684922791672363,0.0051308743293291305
hard,8,1,50,1.0,0.0
hard,8,2,50,0.6551561815150589,0.014851258489174358
hard,8,3,50,0.5227573791659642,0.009822726091819
hard,8,4,50,0.4576521792116328,0.008462402557985516
hard,8,5,50,0.40583895042397533,0.007647554231303475
hard,8,6,50,0.3727674704763529,0.007191095208370294
hard,8,7,50,0.34369755817984954,0.006536871024048354
hard,8,8,50,0.3184559291506689,0.0057762751867521545
hard,9,1,36,1.0,0.0
hard,9,2,36,0.6750021715207395,0.017971890990935043
hard,9,3,36,0.5382262419378684,0.014244966987073655
hard,9,4,36,0.4675979059287673,0.01154520790483217
hard,9,5,36,0.4206938372801281,0.010532517150485147
hard,9,6,36,0.3793635226326166,0.009951884678107389
hard,9,7,36,0.34545959012163224,0.008856617273291375
hard,9,8,36,0.32001076252618016,0.006768692611657116
hard,9,9,36,0.29833953507700717,0.006267871271333016
